compoundName,AmphibianX,BirdsX,CrustaceansX,FishX,InsectX,InvertebratesX,MammalsX,MoluscsX,ReptilesX,WormsX,AlgaeX,FungiX,MossX,FlowerX,AmphibianY,BirdsY,CrustaceansY,FishY,InsectY,InvertebratesY,MammalsY,MoluscsY,ReptilesY,WormsY,AlgaeY,FungiY,MossY,FlowerY
50-00-0,0,0,3.96,1.69,0,4.23,0,5,0,2.74,4.58,3.71,0,1.71,0.01,0.01,0.29,0.12,0.01,0.26,0.01,0.15,0.01,0.27,0.21,0.31,0.01,0.12
50-02-2,0,0,3.91,4.46,0,0,0,0,0,0,4.01,0,0,0,1.40E-44,1.40E-44,1.04,0.72,1.40E-44,0,1.40E-44,1.40E-44,1.40E-44,1.40E-44,1.28,1.40E-44,1.40E-44,1.40E-44
50-18-0,0,0,3.65,2.33,0,3.46,0,0,0,0,0,0,0,0,3.59E-05,3.59E-05,0.43,0.29,3.59E-05,0.51,3.59E-05,3.59E-05,3.59E-05,3.59E-05,3.59E-05,3.59E-05,3.59E-05,3.59E-05
50-28-2,0,0,5.13,10.52,0,7.28,0,0,0,0,4.45,0,0,0,0.01,0.01,0.12,0.06,0.01,0.14,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01
50-29-3,0,0,8.99,8.72,7.47,6.93,0,7.7,0,2.78,6.81,0,0,3.55,0,0,0.1,0.11,0.16,0.17,0,0.16,0,0.04,0.17,0,0,0.07
50-32-8,0,0,8.41,6.28,7.7,3.29,0,0,0,3.29,7.56,0,0,4.47,0,0,0.09,0.18,0.13,0.09,0,0,0,0.09,0.14,0,0,0.15
50-65-7,0,0,6.31,6.01,0,0,0,0,0,0,5.53,0,0,0,1.01E-50,1.01E-50,0.67,1.01,1.01E-50,1.01E-50,1.01E-50,1.01E-50,1.01E-50,1.01E-50,0.58,1.01E-50,1.01E-50,1.01E-50
50-78-2,0,0,3.31,0,0,0,0,0,0,0,2.87,0,0,2.95,9.04E-38,9.04E-38,0.9,9.04E-38,9.04E-38,9.04E-38,9.04E-38,9.04E-38,9.04E-38,9.04E-38,1.3,9.04E-38,9.04E-38,1.59
51-03-6,0,0,6,4.95,3.18,0,0,6.17,0,0,5.47,0,0,0,3.43E-05,3.43E-05,0.26,0.33,0.09,3.43E-05,3.43E-05,0.23,3.43E-05,3.43E-05,0.32,3.43E-05,3.43E-05,3.43E-05
51-28-5,0,0,4.62,5.38,0,4.72,0,0,0,0,4.3,0,0,0,1.48E-24,1.48E-24,0.84,0.34,1.48E-24,0.87,1.48E-24,1.48E-24,1.48E-24,1.48E-24,0.53,1.48E-24,1.48E-24,1.48E-24
