compoundName,AmphibianX,BirdsX,CrustaceansX,FishX,InsectX,InvertebratesX,MammalsX,MoluscsX,ReptilesX,WormsX,AlgaeX,FungiX,MossX,FlowerX,AmphibianY,BirdsY,CrustaceansY,FishY,InsectY,InvertebratesY,MammalsY,MoluscsY,ReptilesY,WormsY,AlgaeY,FungiY,MossY,FlowerY
50-00-0,3.455072002,1.579873282,2.761497029,5.267985359,-1.695102558,3.548081447,0,1.574410386,0,2.477500373,4.000379118,0,0,0,2.552188493,1.977059896,0.18180372,0.178800917,0.200657972,0.078550585,0.020078277,0.177742675,0.08770626,0.178557427,0.08770626,0.201641696,0.154304807,0.08770626
50-02-2,0,0,3.814855864,6.188968876,0,3.910575386,0,0,0,0,0,0,0,0,4.638133375,1.343915406,0.000769362,0.000769362,0.246064175,0.152537164,0.000769362,0.256386917,0.000769362,0.000769362,0.000769362,0.000769362,0.000769362,0.000769362
50-06-6,0,0,1.365521795,2.681088669,0,1.651694202,0,0,0,0,0,0,0,0,1.899434889,0.691889179,0.013314369,0.013314369,0.428120895,0.30459767,0.013314369,0.540795537,0.013314369,0.013314369,0.013314369,0.013314369,0.013314369,0.013314369
50-18-0,1.814726088,0,2.422644969,2.075719716,0,2.132581012,0,0,0,0,0,0,0,0,2.111417946,0.249406333,0.788335419,4.38E-16,0.734284915,1.583266026,4.38E-16,1.593819344,4.38E-16,4.38E-16,4.38E-16,4.38E-16,4.38E-16,4.38E-16
50-21-5,0,0,2.437267353,2.543456654,0,0,0,0,0,1.301029031,0,0,0,0,2.09391768,0.688711368,0.005696841,0.005696841,0.511567247,0.468120124,0.005696841,0.005696841,0.005696841,0.005696841,0.005696841,0.298582204,0.005696841,0.005696841
50-28-2,5.602058397,0,4.962428971,4.204813816,0,0,0,0,0,4.736215416,0,0,0,0,4.87637915,0.578694165,0.314048336,2.63E-16,0.681804233,0.35157966,2.63E-16,2.63E-16,2.63E-16,2.63E-16,2.63E-16,0.66945624,2.63E-16,2.63E-16
50-29-3,5.403476075,2.199356093,7.595361602,8.072482856,7.031090171,3.868362874,2.674542848,5.194535905,0,4.94754412,5.595361602,0,0,0,5.258211414,1.964248591,0.202547079,0.060410929,0.100067216,0.072771534,0.1351503,0.158123671,0.085510404,0.202995037,0.005644346,0.200577266,0.200131821,0.005644346
50-31-7,0,2.052036618,4.398824104,4.213187527,0,0,0,0,0,0,0,0,0,0,3.554682749,1.30463569,0.007470928,0.157527595,0.248034425,0.269215057,0.007470928,0.007470928,0.007470928,0.007470928,0.007470928,0.007470928,0.007470928,0.007470928
50-32-8,4.879425208,7.225851467,6.004002717,5.292428963,4.407493589,0,0,5.399776664,0,5.401942726,0,0,0,0,5.515845905,0.901133859,0.344994222,0.073145159,0.382294476,0.429311985,0.207789592,3.24E-09,3.24E-09,0.439054273,3.24E-09,0.439188959,3.24E-09,3.24E-09
50-65-7,0,0,-0.726727607,6.842613488,5.514711346,0,3.21368135,7.284262425,0,0,0,0,0,0,4.4257082,3.286917063,0.049027777,0.049027777,0.035525344,0.092621914,0.114890793,0.049027777,0.113395428,0.08315432,0.049027777,0.049027777,0.049027777,0.049027777
50-78-2,0,0,2.673663416,2.816957358,0,3.10512962,0,0,0,3.25479017,0,0,0,0,2.962635141,0.264818121,1.00E-27,1.00E-27,0.83061054,1.294941751,1.00E-27,1.303438956,1.00E-27,1.00E-27,1.00E-27,0.819727253,1.00E-27,1.00E-27
51-03-6,3.696976623,2.177303018,5.504179671,4.927425545,6.927425545,0,0,3.22845554,0,4.980482274,0,0,0,0,4.491749745,1.579580327,0.22253297,0.086332809,0.20566527,0.243135748,0.076923524,0.004430568,0.004430568,0.183432168,0.004430568,0.240757773,0.004430568,0.004430568
51-28-5,0,0,4.611860146,4.949102315,4.566102656,0,0,4.452827963,0,0,0,0,0,0,4.64497327,0.213487976,2.99E-103,2.99E-103,1.846343879,0.677417975,1.745417778,2.99E-103,2.99E-103,1.24633893,2.99E-103,2.99E-103,2.99E-103,2.99E-103
51-52-5,2.779890891,0,3.597564582,2.531356311,0,0,0,0,0,0,0,0,0,0,2.969603928,0.557847019,0.674964299,5.02E-07,0.379518227,0.52526314,5.02E-07,5.02E-07,5.02E-07,5.02E-07,5.02E-07,5.02E-07,5.02E-07,5.02E-07
52-51-7,0,2.594287675,4.667537002,3.999975462,0,0,0,0,0,0,0,0,0,0,3.753933379,1.058297322,0.000698401,0.206810808,0.25970125,0.366914903,0.000698401,0.000698401,0.000698401,0.000698401,0.000698401,0.000698401,0.000698401,0.000698401
52-68-6,4.155930602,3.844824159,8.757459464,6.131918377,7.410671978,3.742286061,2.83664071,3.99569863,0,4.747914146,0,0,0,0,5.069260459,1.954127932,0.183029695,0.16776521,0.034389615,0.176093064,0.099588447,0.162115654,0.106293367,0.175556807,0.007057701,0.201411819,0.007057701,0.007057701
54-11-5,3.909111881,0,2.521431898,4.608081885,6.563542124,2.869664625,3.924584567,0,0,3.335080613,0,0,0,0,3.961642513,1.344811037,0.296426806,0.00387087,0.16718618,0.264285783,0.045645106,0.213341992,0.296540429,0.00387087,0.00387087,0.266141156,0.00387087,0.00387087
54-85-3,3.390221269,0,2.628931188,3.602059041,0,1.653646076,0,0,0,0,0,0,0,0,2.818714393,0.881977097,0.366670795,0.002738756,0.441975687,0.30490002,0.002738756,0.189032796,0.002738756,0.002738756,0.002738756,0.002738756,0.002738756,0.002738756
