compoundName,AmphibianX,BirdsX,CrustaceansX,FishX,InsectX,InvertebratesX,MammalsX,MoluscsX,ReptilesX,WormsX,AlgaeX,FungiX,MossX,FlowerX,AmphibianY,BirdsY,CrustaceansY,FishY,InsectY,InvertebratesY,MammalsY,MoluscsY,ReptilesY,WormsY,AlgaeY,FungiY,MossY,FlowerY
50-00-0,4.176470377,0,6.477500373,3.817584173,0,3.477500373,0,3.000379118,0,2.176470377,5.477500373,1.818726052,0,0,3.802766402,1.577959267,0.245830121,0.013857279,0.060103731,0.252810513,0.013857279,0.247507128,0.013857279,0.22216044,0.013857279,0.148648241,0.143951248,0.114689123
50-02-2,6.999998672,5.417711333,0,5.999998672,0,0,0,0,0,0,0,0,0,4,5.604427169,1.253414799,0.171245467,0.314772352,1.45E-05,0.302821936,1.45E-05,1.45E-05,1.45E-05,1.45E-05,1.45E-05,1.45E-05,1.45E-05,1.45E-05
50-06-6,0,0,3.666964026,2.666964026,0,0,3.490872767,0,0,0,8.000446046,0,0,0,4.456311717,2.40262325,0.02973043,0.02973043,0.157320906,0.12582992,0.02973043,0.02973043,0.153166123,0.02973043,0.02973043,0.02973043,0.055940038,0.02973043
50-07-7,6.524176647,0,0,5.524176647,0,5.999999091,0,6.922116656,0,4.301029086,0,0,0,0,5.854299626,1.016344838,0.315890286,2.45E-08,2.45E-08,0.3723566,2.45E-08,0.388513737,2.45E-08,0.22603214,2.45E-08,0.122091108,2.45E-08,2.45E-08
50-18-0,4.115756084,0,4.018846071,3.372428338,0,4.319876067,0,0,0,3.999999002,4.018846071,0,0,0,3.974291939,0.31821731,1.13572247,1.69E-34,1.24145068,0.209603057,1.69E-34,0.695157939,1.69E-34,1.69E-34,1.69E-34,1.249594569,1.24145068,1.69E-34
50-28-2,4.999998406,6.43518542,7.43518542,8.736215416,0,6.43518542,0,6.301028401,3.999998406,4.736215416,6.532095433,0,0,0,6.179011971,1.440828833,0.198105604,0.272541945,0.18934012,0.057318047,2.81E-05,0.272541945,2.81E-05,0.275892819,0.08823662,0.167709212,0.268693694,2.81E-05
50-29-3,5.35556092,0,8.549604111,5.853871474,8.403476075,6.005536067,0,6.549604111,0,6.151664102,4.248574115,0,0,7.549604111,6.518610565,1.418056955,0.200976635,7.26E-06,0.100874567,0.252057602,0.116298206,0.263505449,7.26E-06,0.281263036,7.26E-06,0.272067161,0.078119254,7.26E-06
50-32-8,4.401942726,0,10.10091273,6.999999139,7.401942726,6.721245538,0,7.124937876,6.999999139,3.799882734,0,0,0,6.702972721,6.694870592,1.806636134,0.0986871,0.000230203,0.037344343,0.217693403,0.204539875,0.220796962,0.000230203,0.214651663,0.217693403,0.061158997,0.000230203,0.000230203
50-53-3,0,0,0,5.30980283,0,0,0,5.99999891,4.1056648,0,0,0,0,0,5.138488847,0.95871622,2.41E-07,2.41E-07,2.41E-07,0.409530616,2.41E-07,2.41E-07,2.41E-07,0.277890941,0.232918898,2.41E-07,2.41E-07,2.41E-07
50-67-9,0,0,9.246049282,7,0,0,0,2.999998768,0,4.999998768,0,0,0,0,6.061511704,2.678414397,0.011505068,0.011505068,0.07346245,0.140078834,0.011505068,0.011505068,0.011505068,0.077504103,0.011505068,0.137697114,0.011505068,0.011505068
50-78-2,0,0,5.000385386,4.296707899,0,5.255657891,0,0,0,0,3.954627895,0,0,0,4.626844768,0.60437417,1.24E-13,1.24E-13,0.545323014,0.568605163,1.24E-13,0.384184986,1.24E-13,1.24E-13,1.24E-13,1.24E-13,0.355606709,1.24E-13
50-81-7,4.245822486,0,0,3.546852481,0,3.301029256,0,4.602059252,0,0,0,0,0,0,3.923940869,0.603784411,0.573210698,4.45E-10,4.45E-10,0.543662592,4.45E-10,0.38806552,4.45E-10,0.351659344,4.45E-10,4.45E-10,4.45E-10,4.45E-10
51-03-6,0,0,7.529485536,5.848244299,2.626395549,0,0,0,0,0,5.830515532,0,0,0,5.458660229,2.049397699,0.005607127,0.005607127,0.116834754,0.191177515,0.074911752,0.005607127,0.005607127,0.005607127,0.005607127,0.005607127,0.191484995,0.005607127
51-28-5,0,0,4.773710966,7.468520611,0,0,0,0,0,0,3.867132652,0,0,0,5.369788076,1.873227095,0.003498952,0.003498952,0.202456632,0.113695589,0.003498952,0.003498952,0.003498952,0.003498952,0.003498952,0.003498952,0.154379204,0.003498952
51-43-4,3.183759869,0,0,5.999998815,0,0,5.405608619,4.999998815,0,0,0,0,0,0,4.897341529,1.213958971,0.121349203,9.61E-05,9.61E-05,0.217546294,9.61E-05,9.61E-05,0.301051411,0.327456202,9.61E-05,9.61E-05,9.61E-05,9.61E-05
51-48-9,7.999999776,0,5.890350699,8.999999776,0,0,0,0,0,0,0,0,0,0,7.630116751,1.587478956,0.244575728,2.42E-06,0.137846135,0.173182432,2.42E-06,2.42E-06,2.42E-06,2.42E-06,2.42E-06,2.42E-06,2.42E-06,2.42E-06
51-61-6,0,0,0,7,0,0,0,3.999998866,0,1.602059991,0,0,0,0,4.200686286,2.704560161,0.044153991,0.044153991,0.044153991,0.086334475,0.044153991,0.044153991,0.044153991,0.147101729,0.044153991,0.092970196,0.044153991,0.044153991
52-53-9,0,0,4.301028563,6.226273501,0,5.301028563,0,4.698968571,0,3.60273802,0,0,0,2.999998567,4.521672631,1.162162659,0.000177215,0.000177215,0.337144419,0.117080047,0.000177215,0.274150264,0.000177215,0.339304288,0.000177215,0.251117837,0.000177215,0.000177215
52-68-6,0,0,10.41067198,3.206551995,7.444530245,0,0,0,0,1.933550723,4.012731969,0,0,0,5.401607382,3.465505807,0.034165615,0.034165615,0.040502277,0.094194297,0.096756915,0.034165615,0.034165615,0.034165615,0.034165615,0.069771234,0.106234542,0.034165615
54-11-5,6.733020621,0,7.210141876,4.602058385,0,0,4.829930634,0,0,0,2.008772318,0,0,0,5.076784767,2.061148481,0.140149135,0.009319962,0.113284974,0.188487078,0.009319962,0.009319962,0.192170219,0.009319962,0.009319962,0.009319962,0.063927037,0.009319962
