compoundName,AmphibianX,BirdsX,CrustaceansX,FishX,InsectX,InvertebratesX,MammalsX,MoluscsX,ReptilesX,WormsX,AlgaeX,FungiX,MossX,FlowerX,AmphibianY,BirdsY,CrustaceansY,FishY,InsectY,InvertebratesY,MammalsY,MoluscsY,ReptilesY,WormsY,AlgaeY,FungiY,MossY,FlowerY
50-00-0,4.778530369,0,2.699349123,1.875440382,0,4.778530369,0,2.699349123,0,3.079560364,6.778530369,0,0,0,0.199344832,0.019176284,0.189087216,0.122685416,0.019176284,0.199344832,0.019176284,0.189087216,0.019176284,0.213373043,0.051509676,0.019176284,0.019176284,0.019176284
50-02-2,7.999998672,5.417711333,0,7.002737985,0,0,0,0,0,0,0,0,0,4,0.126975012,0.209953727,0.000555239,0.198968229,0.000555239,0.000555239,0.000555239,0.000555239,0.000555239,0.000555239,0.000555239,0.000555239,0.000555239,0.110870864
50-06-6,3.365934031,0,4.666964026,6.365934031,0,0,0,0,0,4.189842772,4.000446046,0,0,0,0.210009449,0.000125094,0.348903873,0.093169635,0.000125094,0.000125094,0.000125094,0.000125094,0.000125094,0.337509456,0.317123984,0.000125094,0.000125094,0.000125094
50-07-7,0,0,0,6.223146652,0,4.301029086,0,6.922116656,0,4.301029086,0,0,0,0,8.13E-05,8.13E-05,8.13E-05,0.25036112,8.13E-05,0.207776024,8.13E-05,0.16113098,8.13E-05,0.207776024,8.13E-05,8.13E-05,8.13E-05,8.13E-05
50-18-0,3.814726088,0,4.319876067,3.814726088,0,4.620906062,0,0,0,4.999999002,4.319876067,0,0,0,0.480282942,8.44E-20,0.865013968,0.480282942,8.44E-20,0.694247464,8.44E-20,8.44E-20,8.44E-20,0.287072913,0.865013968,8.44E-20,8.44E-20,8.44E-20
50-28-2,8.301028401,7.43518542,6.43518542,11.99999841,5.43518542,6.43518542,0,6.301028401,3.999998406,5.037245411,4.833125429,0,0,0,0.133528422,0.16450417,0.174791191,0.010713572,0.153085262,0.174791191,0.002536164,0.173647483,0.09028655,0.13761726,0.128761752,0.002536164,0.002536164,0.002536164
50-29-3,5.657576829,0,8.549604111,3.496525667,8.868362874,7.646514124,0,6.379342396,0,0,6.549604111,0,0,6.549604111,0.19276429,0.000106959,0.130997376,0.039927113,0.105423516,0.200788813,0.000106959,0.228676845,0.000106959,0.000106959,0.23199102,0.000106959,0.000106959,0.23199102
50-32-8,6.879425208,0,10.10091273,9.401942726,5.702972721,6.999999139,0,5.401942726,7.999999139,3.924821471,3.004002717,0,0,0,0.16773598,0.003398602,0.056373746,0.083646561,0.157102762,0.166515425,0.003398602,0.148455093,0.141753814,0.08886125,0.052945529,0.003398602,0.003398602,0.003398602
50-67-9,0,0,10.24604928,3.999998768,0,0,0,4.999998768,0,3.999998768,0,0,0,0,0.020248739,0.020248739,0.044487097,0.110966382,0.020248739,0.020248739,0.020248739,0.128453151,0.020248739,0.110966382,0.020248739,0.020248739,0.020248739,0.020248739
50-78-2,0,0,5.255657891,4.818155689,0,6.255657891,0,0,0,0,3.954627895,0,0,0,3.34E-07,3.34E-07,0.409167993,0.402553763,3.34E-07,0.193763107,3.34E-07,3.34E-07,3.34E-07,3.34E-07,0.211103958,3.34E-07,3.34E-07,3.34E-07
50-81-7,0,0,3.99999926,1.94479249,0,3.546852481,0,4.301029256,0,3.99999926,0,0,0,0,0.000334763,0.000334763,0.379631226,0.09752368,0.000334763,0.423716331,0.000334763,0.310488186,0.000334763,0.379631226,0.000334763,0.000334763,0.000334763,0.000334763
51-03-6,4.529485536,0,6.052364281,7.529485536,4.830515532,0,0,0,0,0,5.522877205,0,0,0,0.207898096,3.35E-06,0.321226682,0.101446447,0.258204932,3.35E-06,3.35E-06,3.35E-06,3.35E-06,3.35E-06,0.332876959,3.35E-06,3.35E-06,3.35E-06
51-28-5,5.096909541,0,4.773710966,4.26507266,0,0,0,0,0,0,5.26507266,0,0,0,0.774602936,3.89E-27,0.892787832,0.374601692,3.89E-27,3.89E-27,3.89E-27,3.89E-27,3.89E-27,3.89E-27,0.581270802,3.89E-27,3.89E-27,3.89E-27
51-43-4,3.262941115,0,0,3.999998815,0,0,5.405608619,5.999998815,0,0,0,0,0,0,0.170050225,0.000321506,0.000321506,0.275712008,0.000321506,0.000321506,0.267098625,0.180891435,0.000321506,0.000321506,0.000321506,0.000321506,0.000321506,0.000321506
51-48-9,7.999999776,0,5.890350699,9.999999776,0,0,0,0,0,0,0,0,0,0,0.194095343,0.00010652,0.116710349,0.118804377,0.00010652,0.00010652,0.00010652,0.00010652,0.00010652,0.00010652,0.00010652,0.00010652,0.00010652,0.00010652
51-61-6,0,0,2.999998866,3.999998866,0,0,0,0,0,3.999998866,0,0,0,0,1.21E-09,1.21E-09,0.354765222,0.584908967,1.21E-09,1.21E-09,1.21E-09,1.21E-09,1.21E-09,0.584908967,1.21E-09,1.21E-09,1.21E-09,1.21E-09
52-53-9,0,0,4.301028563,6.226273501,0,5.301028563,0,4.999998567,0,0,0,0,0,3.999998567,4.98E-08,4.98E-08,0.341333038,0.161916719,4.98E-08,0.42279143,4.98E-08,0.454507584,4.98E-08,4.98E-08,4.98E-08,4.98E-08,4.98E-08,0.248109319
52-68-6,0,0,10.41067198,7.486392692,0,0,0,0,0,4.410671978,2.933550723,0,0,0,0.019846517,0.019846517,0.056108487,0.112647201,0.019846517,0.019846517,0.019846517,0.019846517,0.019846517,0.101873506,0.071641485,0.019846517,0.019846517,0.019846517
54-11-5,6.733020621,0,0,4.602058385,0,0,4.528900639,0,0,0,2.008772318,0,0,0,0.103874193,0.014243246,0.014243246,0.205979105,0.014243246,0.014243246,0.206372188,0.014243246,0.014243246,0.014243246,0.091841411,0.014243246,0.014243246,0.014243246
54-21-7,0,0,2.043035536,5.204403539,0,0,3.204403539,0,0,0,0,0,0,3.426252288,0.008962381,0.008962381,0.168230196,0.126409918,0.008962381,0.008962381,0.299241059,0.008962381,0.008962381,0.008962381,0.008962381,0.008962381,0.008962381,0.305303294
54-31-9,0,0,0,5.999999475,2.820519738,4.519489742,0,0,0,0,7.519489742,0,0,0,0.006894256,0.006894256,0.006894256,0.183747124,0.097669432,0.186787373,0.006894256,0.006894256,0.006894256,0.006894256,0.102891343,0.006894256,0.006894256,0.006894256
55-38-9,4.444545196,0,9.046605187,5.690962137,0,4.581222336,0,0,0,0,5.745575192,0,0,0,0.157827946,0.001391335,0.051319714,0.213204763,0.001391335,0.166738163,0.001391335,0.001391335,0.001391335,0.001391335,0.213823846,0.001391335,0.001391335,0.001391335
56-23-5,0,0,4.300530552,4.789081268,5.885991281,0,0,0,0,0,0,0,0,0,3.05E-09,3.05E-09,0.341944074,0.476250926,0.26795173,3.05E-09,3.05E-09,3.05E-09,3.05E-09,3.05E-09,3.05E-09,3.05E-09,3.05E-09,3.05E-09
56-38-2,0,0,8.288186753,6.473051936,9.288186753,0,0,8.561188025,0,4.464278012,5.464278012,0,0,0,0.000221021,0.000221021,0.171242639,0.197726722,0.10780507,0.000221021,0.000221021,0.155056241,0.000221021,0.08141245,0.14528592,0.000221021,0.000221021,0.000221021
56-49-5,0,0,6.12768358,4.12768358,2.301029996,0,0,0,0,0,0,0,0,0,0.019079535,0.019079535,0.124557768,0.208340893,0.128374117,0.019079535,0.019079535,0.019079535,0.019079535,0.019079535,0.019079535,0.019079535,0.019079535,0.019079535
56-53-1,8.428709368,0,7.428709368,5.999998705,0,0,0,0,0,6.729739363,0,0,0,0,0.178973193,1.68E-11,0.371511557,0.208618573,1.68E-11,1.68E-11,1.68E-11,1.68E-11,1.68E-11,0.355480089,1.68E-11,1.68E-11,1.68E-11,1.68E-11
56-75-7,0,0,5.208350242,4.208350242,0,0,0,2.942247959,0,0,4.509380237,0,0,6,0.000118183,0.000118183,0.298955156,0.331350768,0.000118183,0.000118183,0.000118183,0.126165711,0.000118183,0.000118183,0.34812849,0.000118183,0.000118183,0.16031031
57-13-6,0.990383693,0,1.778552064,0.456332769,0,0,0,2.778552064,0,0,3.933454024,0,0,6.602460805,0.130063455,0.083899155,0.1607288,0.10515858,0.083899155,0.083899155,0.083899155,0.176496028,0.083899155,0.083899155,0.15413035,0.083899155,0.083899155,0.041502978
57-30-7,0,0,2.998280718,3.530148963,0,0,0,2.627058977,0,0,0,0,0,0,1.34E-10,1.34E-10,0.872787687,0.504442442,1.34E-10,1.34E-10,1.34E-10,0.567253443,1.34E-10,1.34E-10,1.34E-10,1.34E-10,1.34E-10,1.34E-10
57-62-5,3.712099078,0,0,0,0,0,0,0,0,0,6.013129074,5.712099078,0,7.234977823,0.111432231,0.000146961,0.000146961,0.000146961,0.000146961,0.000146961,0.000146961,0.000146961,0.000146961,0.000146961,0.265580871,0.272969893,0.000146961,0.15363272
57-63-6,10.00001231,6.693739257,12.47189051,11.61455801,6.471890507,10.7729205,0,9.772920503,0,5.772920503,0,5.471890507,0,5.471890507,0.124062825,0.118484034,0.049649054,0.074791268,0.112125542,0.101676194,0.001256631,0.129560483,0.001256631,0.090288745,0.001256631,0.080616127,0.001256631,0.080616127
